pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
Kepler-938 b,Kepler-938,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.220,0.250,-0.160,0,5.56000,,,0,2.790000,,,0,544,,,0,89.720,,,0,,5533.00,95.38,-107.50,0,0.89,0.10,-0.06,0,0.92,0.05,-0.05,0,-0.174,,,0,11.99897,79.90214,1182.0500000,,
Kepler-939 b,Kepler-939,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.750,0.310,-0.200,0,3.71000,,,0,3.800000,,,0,692,,,0,85.910,,,0,,5471.00,149.70,-105.85,0,0.85,0.09,-0.07,0,0.88,0.06,-0.06,0,0.391,,,0,12.58043,79.65084,2093.6200000,147.3700000,-147.3700000
Kepler-94 b,Kepler-94,b,1,2,Transit,2014,2014-02,Kepler,0.95 m Kepler Telescope,3.510,0.150,-0.150,0,10.84000,1.40000,-1.40000,0,1.450000,0.260000,-0.260000,0,997,,,0,86.610,,,0,M0 V,4781.00,98.00,-98.00,0,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0,-0.613,0.024,-0.015,0,20.71013,76.71253,191.9040000,0.8210000,-0.8140000
Kepler-94 c,Kepler-94,c,1,2,Radial Velocity,2014,2014-02,W. M. Keck Observatory,10 m Keck I Telescope,12.500,,,0,3126.00000,200.00000,-200.00000,0,8.790000,,,0,,,,,,,,,M0 V,4781.00,98.00,-98.00,0,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0,-0.597,0.004,-0.004,0,20.71013,76.71253,191.9040000,0.8210000,-0.8140000
Kepler-940 b,Kepler-940,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,3.340,0.710,-0.310,0,11.10000,,,0,1.640000,,,0,486,,,0,88.630,,,0,,5769.00,169.66,-95.40,0,0.96,0.12,-0.08,0,0.97,0.07,-0.07,0,-0.057,,,0,12.46341,79.99619,1260.7800000,59.0100000,-59.0100000
Kepler-941 b,Kepler-941,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,3.080,0.350,-0.610,0,9.69000,,,0,1.820000,,,0,722,,,0,85.650,,,0,,5539.00,154.02,-104.04,0,0.86,0.10,-0.08,0,0.89,0.06,-0.07,0,-0.206,,,0,12.38563,79.96930,1088.3600000,38.3450000,-38.3450000
Kepler-942 b,Kepler-942,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.130,0.230,-0.080,0,5.18000,,,0,2.950000,,,0,379,,,0,89.910,,,0,,4861.00,77.85,-66.28,0,0.75,0.02,-0.01,0,0.81,0.03,-0.03,0,-0.585,0.025,-0.024,0,10.59114,77.39112,216.3540000,0.6530000,-0.6490000
Kepler-943 b,Kepler-943,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,5.930,0.790,-0.530,0,29.50000,,,0,0.777000,,,0,455,,,0,88.800,,,0,,5612.00,121.64,-101.28,0,0.91,0.11,-0.07,0,0.93,0.05,-0.06,0,0.407,,,0,16.61311,71.58697,2300.5300000,170.0900000,-148.6900000
Kepler-944 b,Kepler-944,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.630,0.270,-0.210,0,7.41000,,,0,2.240000,,,0,459,,,0,89.970,,,0,,5409.00,108.67,-133.24,0,0.83,0.08,-0.06,0,0.86,0.05,-0.06,0,-0.078,,,0,10.65054,75.33060,1349.4300000,56.1250000,-56.1250000
Kepler-945 b,Kepler-945,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.630,0.470,-0.250,0,7.41000,,,0,2.240000,,,0,616,,,0,89.810,,,0,,5718.00,119.29,-104.43,0,0.97,0.17,-0.09,0,0.97,0.05,-0.06,0,0.024,,,0,12.06911,74.28654,1651.2500000,103.1100000,-91.8700000
