pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
HAT-P-24 b,HAT-P-24,b,2,1,Transit,2010,2010-12,HATNet,Canon 200mm f/1.8L,14.572,2.354,-2.354,0,238.37250,79.45750,-79.45750,0,0.440000,0.070000,-0.070000,0,1637,42,-42,0,88.600,0.700,-0.700,0,F8,6373.00,80.00,-80.00,0,1.38,0.22,-0.22,0,1.37,0.69,-0.69,0,0.408,0.050,-0.050,0,11.65314,202.73799,415.3440000,6.6360000,-6.4350000
HAT-P-25 b,HAT-P-25,b,1,1,Transit,2010,2012-01,HATNet,Canon 200mm f/1.8L,12.722,0.538,-0.538,0,180.84527,7.31009,-6.99226,0,0.483000,0.059000,-0.051000,0,1182,25,-25,0,88.220,0.450,-0.360,0,G5,5519.00,78.00,-76.00,0,0.92,0.03,-0.03,0,1.01,0.05,-0.05,0,-0.152,0.044,-0.045,0,-27.44257,159.31431,300.3840000,4.3000000,-4.1820000
HAT-P-26 b,HAT-P-26,b,1,1,Transit,2010,2011-02,HATNet,Canon 200mm f/1.8L,7.062,0.448,-0.448,0,22.24810,6.35660,-6.35660,0,0.400000,0.100000,-0.100000,0,1001,66,-37,0,88.600,0.700,-0.700,0,K1,5079.00,88.00,-88.00,0,0.87,0.05,-0.05,0,1.12,0.36,-0.36,0,-0.359,0.016,-0.012,0,59.87255,346.51303,141.8370000,1.1520000,-1.1330000
HAT-P-27 b,HAT-P-27,b,2,1,Transit,2011,2011-06,HATNet,Canon 200mm f/1.8L,11.430,0.780,-0.670,0,197.05000,9.53000,-9.53000,0,0.760000,0.170000,-0.130000,0,1092,,,0,85.000,0.200,-0.200,0,G8,5316.00,87.12,-122.28,0,0.86,0.05,-0.04,0,0.92,0.12,-0.10,0,-0.269,0.011,-0.015,0,54.54400,1.68335,199.1730000,1.4510000,-1.4300000
HAT-P-28 b,HAT-P-28,b,1,1,Transit,2011,2011-06,HATNet,Canon 200mm f/1.8L,13.585,1.267,-0.919,0,198.95300,11.75900,-11.75900,0,0.440000,0.090000,-0.090000,0,1384,52,-52,0,88.000,0.900,-0.900,0,G3,5680.00,90.00,-90.00,0,1.10,0.09,-0.07,0,1.03,0.05,-0.05,0,0.053,0.080,-0.066,0,-28.14320,123.06375,401.3190000,5.5420000,-5.3950000
HAT-P-29 b,HAT-P-29,b,2,1,Transit,2011,2011-06,HATNet,Canon 200mm f/1.8L,13.115,1.457,-1.457,0,279.69040,79.45750,-79.45750,0,0.790000,0.170000,-0.140000,0,1271,39,-37,0,87.100,0.600,-0.600,0,F8,6087.00,88.00,-88.00,0,1.30,0.14,-0.14,0,1.45,0.60,-0.60,0,0.272,0.032,-0.051,0,-9.10798,135.47060,313.5760000,4.4300000,-4.3100000
HAT-P-3 b,HAT-P-3,b,2,1,Transit,2007,2007-09,HATNet,Canon 200mm f/1.8L,10.536,0.785,-0.785,0,206.58950,34.96130,-34.96130,0,0.855000,0.071000,-0.071000,0,1189,16,-16,0,87.240,0.690,-0.690,0,K,5185.00,80.00,-80.00,0,0.87,0.06,-0.06,0,1.06,0.28,-0.28,0,-0.360,0.050,-0.050,0,66.69255,100.16678,134.5540000,0.4800000,-0.4770000
HAT-P-30 b,HAT-P-30,b,2,1,Transit,2011,2011-07,HATNet,Canon 200mm f/1.8L,16.141,1.681,-1.681,0,263.79890,57.20940,-57.20940,0,0.309000,0.027000,-0.025000,0,1630,42,-42,0,83.600,0.040,-0.040,0,F7,6304.00,88.00,-88.00,0,1.31,0.13,-0.13,0,1.55,0.51,-0.51,0,0.312,0.048,-0.054,0,21.40542,217.41185,213.9850000,2.2170000,-2.1730000
HAT-P-31 b,HAT-P-31,b,1,1,Transit,2011,2011-09,HATNet,Canon 200mm f/1.8L,12.218,1.681,-1.681,0,721.47410,266.97720,-266.97720,0,2.180000,1.240000,-0.930000,0,1450,230,-110,0,87.100,2.250,-2.250,0,,6065.00,100.00,-100.00,0,1.39,0.11,-0.11,0,1.31,0.73,-0.73,0,0.433,0.019,-0.021,0,21.06338,52.72026,344.0500000,2.9130000,-2.8650000
HAT-P-32 b,HAT-P-32,b,2,1,Transit,2011,2011-11,HATNet,Canon 200mm f/1.8L,22.194,0.504,-0.504,0,216.12440,34.96130,-31.78300,0,0.108000,0.018000,-0.017000,0,1836,7,-7,0,88.980,0.680,-0.850,0,,6001.00,88.00,-88.00,0,1.37,0.03,-0.03,0,1.13,0.05,-0.05,0,0.338,0.019,-0.020,0,-14.37306,135.69851,289.2050000,5.3550000,-5.1670000
HAT-P-33 b,HAT-P-33,b,2,1,Transit,2011,2011-11,HATNet,Canon 200mm f/1.8L,20.737,5.492,-5.492,0,292.40360,158.91500,-158.91500,0,0.200000,0.030000,-0.030000,0,1782,28,-28,0,87.200,0.050,-0.050,0,F4,6446.00,88.00,-88.00,0,1.79,0.48,-0.48,0,1.82,1.45,-1.45,0,0.618,0.036,,0,22.73004,185.30741,396.1100000,7.6470000,-7.3680000
HAT-P-34 b,HAT-P-34,b,1,1,Transit,2011,2012-07,HATNet,Canon 200mm f/1.8L,13.417,1.457,-1.031,0,1058.37390,66.74430,-63.56600,0,2.500000,0.750000,-0.600000,0,1520,60,-60,0,87.100,1.200,-1.200,0,,6442.00,88.00,-88.00,0,1.53,0.14,-0.10,0,1.39,0.05,-0.05,0,0.600,0.027,-0.022,0,-8.75906,58.54106,249.3250000,2.8040000,-2.7440000
HAT-P-35 b,HAT-P-35,b,3,1,Transit,2011,2012-07,HATNet,Canon 200mm f/1.8L,14.930,1.098,-1.098,0,335.62848,10.48839,-10.48839,0,0.550000,0.140000,-0.110000,0,1581,45,-45,0,87.300,1.000,-1.000,0,,6096.00,88.00,-88.00,0,1.44,0.08,-0.08,0,1.24,0.05,-0.05,0,0.383,0.023,-0.033,0,20.30811,218.07385,506.9650000,13.1930000,-12.5510000
HAT-P-36 b,HAT-P-36,b,1,1,Transit,2011,2012-07,HATNet,Canon 200mm f/1.8L,14.314,0.224,-0.224,0,587.41341,27.65121,-27.65121,0,1.175000,0.078000,-0.078000,0,1781,19,-19,0,87.130,0.004,-0.130,0,G5 V,5620.00,40.00,-40.00,0,1.04,0.01,-0.01,0,1.03,0.03,-0.03,0,0.022,0.019,-0.019,0,71.83707,133.41389,294.4190000,2.2690000,-2.2350000
HAT-P-37 b,HAT-P-37,b,1,1,Transit,2011,2012-07,HATNet,Canon 200mm f/1.8L,13.204,0.863,-0.863,0,371.52800,32.73500,-32.73500,0,0.890000,0.190000,-0.190000,0,1271,47,-47,0,86.900,0.400,-0.500,0,,5500.00,100.00,,0,0.88,0.06,,0,0.93,0.04,,0,-0.208,0.071,,0,19.98353,81.20831,390.5940000,2.7230000,-2.6860000
HAT-P-38 b,HAT-P-38,b,1,1,Transit,2012,2012-10,HATNet,Canon 200mm f/1.8L,9.247,1.031,-0.706,0,84.85700,6.35600,-6.35600,0,0.590000,0.160000,-0.160000,0,1082,55,-55,0,88.300,0.700,-0.700,0,G5,5330.00,100.00,,0,0.92,0.10,,0,0.89,0.04,,0,-0.208,0.100,,0,-26.87267,144.22935,255.2060000,2.4730000,-2.4270000
HAT-P-39 b,HAT-P-39,b,2,1,Transit,2012,2012-11,HATNet,Canon 200mm f/1.8L,17.609,1.211,-0.908,0,190.37200,31.46400,-31.46400,0,0.190000,0.040000,-0.040000,0,1752,43,-43,0,87.000,1.000,-1.000,0,,6430.00,100.00,,0,1.62,0.08,,0,1.40,0.05,,0,0.607,0.055,,0,17.44627,201.41730,697.0040000,17.9380000,-17.0750000
HAT-P-4 b,HAT-P-4,b,2,1,Transit,2007,2007-11,HATNet,Canon 200mm f/1.8L,14.280,0.549,-0.673,0,213.25500,10.48800,-13.98400,0,0.403000,0.065000,-0.049000,0,1686,30,-26,0,89.910,0.090,-2.200,0,F,5860.00,80.00,,0,1.62,0.06,-0.05,0,0.56,0.07,-0.07,0,0.431,0.062,,0,57.33630,58.47975,320.4510000,2.8520000,-2.8020000
HAT-P-40 b,HAT-P-40,b,1,1,Transit,2012,2012-11,HATNet,Canon 200mm f/1.8L,17.038,1.906,-1.906,0,152.55840,41.31790,-41.31790,0,0.150000,0.010000,-0.010000,0,1770,33,-33,0,88.300,0.900,-0.900,0,,6080.00,100.00,-100.00,0,1.94,0.22,-0.22,0,1.03,0.40,-0.40,0,0.778,0.047,,0,-9.86299,97.34365,464.4690000,6.5370000,-6.3610000
HAT-P-41 b,HAT-P-41,b,2,1,Transit,2012,2012-11,HATNet,Canon 200mm f/1.8L,22.978,5.605,-5.605,0,378.21770,190.69800,-190.69800,0,0.204000,0.006000,-0.008800,0,1941,38,-38,0,87.700,1.000,-1.000,0,,6390.00,100.00,-100.00,0,2.05,0.50,-0.50,0,2.56,1.90,-1.90,0,0.628,0.044,,0,-10.62609,43.84092,348.1850000,4.5290000,-4.4170000
HAT-P-42 b,HAT-P-42,b,1,1,Transit,2012,2013-10,HATNet,Canon 200mm f/1.8L,14.348,1.715,-1.715,0,331.80100,26.37900,-26.37900,0,0.610000,0.340000,-0.150000,0,1428,60,-60,0,85.900,1.300,-0.800,0,,5743.00,50.00,-50.00,0,1.53,0.14,-0.14,0,1.18,0.07,-0.07,0,0.356,0.075,-0.091,0,31.58211,223.00400,405.2380000,7.7790000,-7.4960000
HAT-P-43 b,HAT-P-43,b,1,1,Transit,2012,2013-10,HATNet,Canon 200mm f/1.8L,13.630,0.640,-0.630,0,210.39500,19.06900,-19.06900,0,0.390000,0.050000,-0.050000,0,1353,16,-16,0,88.700,0.700,-0.700,0,F9,5693.00,62.00,-63.00,0,1.08,0.05,-0.05,0,1.03,0.04,-0.04,0,0.060,0.018,-0.017,0,27.75424,215.48946,528.8250000,7.5870000,-7.3790000
HAT-P-44 b,HAT-P-44,b,1,2,Transit,2014,2014-06,HATNet,Canon 200mm f/1.8L,13.922,1.188,-0.572,0,111.87100,9.21700,-9.21700,0,0.230000,0.040000,-0.040000,0,1108,51,-32,0,89.100,0.400,-0.400,0,,5295.00,100.00,-100.00,0,0.95,0.08,-0.04,0,0.94,0.04,-0.04,0,-0.194,0.086,-0.058,0,64.52011,89.60271,347.8500000,2.2260000,-2.1990000
HAT-P-44 c,HAT-P-44,c,1,2,Radial Velocity,2014,2014-06,W. M. Keck Observatory,10 m Keck I Telescope,13.000,,,0,1271.30000,444.90000,-254.30000,0,3.180000,,,0,,,,,,,,,,5295.00,100.00,-100.00,0,0.95,0.08,-0.04,0,0.94,0.04,-0.04,0,-0.194,0.086,-0.058,0,64.52011,89.60271,347.8500000,2.2260000,-2.1990000
HAT-P-45 b,HAT-P-45,b,1,1,Transit,2014,2014-06,HATNet,Canon 200mm f/1.8L,15.984,1.962,-0.975,0,283.49200,43.54100,-31.46400,0,0.380000,0.090000,-0.090000,0,1652,90,-52,0,87.800,0.900,-0.900,0,,6330.00,100.00,-100.00,0,1.32,0.15,-0.07,0,1.26,0.06,-0.06,0,0.400,0.108,-0.061,0,5.98199,26.02156,298.6400000,6.0310000,-5.8010000
HAT-P-46 b,HAT-P-46,b,1,1,Transit,2014,2014-06,HATNet,Canon 200mm f/1.8L,14.392,3.038,-1.491,0,156.68400,26.06100,-16.52600,0,0.280000,0.100000,-0.100000,0,1458,140,-75,0,85.500,0.800,-2.300,0,,6120.00,100.00,-100.00,0,1.40,0.29,-0.14,0,1.28,0.10,-0.06,0,0.391,0.178,-0.096,0,9.63976,24.53129,290.7360000,5.1100000,-4.9400000
HAT-P-49 b,HAT-P-49,b,1,1,Transit,2014,2014-04,HATNet,Canon 200mm f/1.8L,17.822,2.018,-2.018,0,699.22600,187.51970,-187.51970,0,0.750000,0.170000,-0.170000,0,2131,69,-42,0,86.200,1.700,-1.700,0,F,6820.00,52.00,-52.00,0,2.06,0.23,-0.23,0,2.22,0.83,-0.83,0,0.814,0.066,-0.040,0,-5.76833,66.92249,350.3510000,3.5520000,-3.4820000
HAT-P-5 b,HAT-P-5,b,1,1,Transit,2007,2007-12,HATNet,Canon 200mm f/1.8L,13.563,1.121,-1.121,0,311.47340,63.56600,-63.56600,0,0.642000,0.120000,-0.097000,0,1539,33,-32,0,86.750,0.440,-0.440,0,G,5960.00,100.00,-100.00,0,1.12,0.09,-0.09,0,1.04,0.29,-0.29,0,0.187,0.064,-0.064,0,22.14911,63.93673,303.3360000,1.8120000,-1.7910000
HAT-P-50 b,HAT-P-50,b,1,1,Transit,2015,2015-12,HATNet,Multiple Telescopes,14.437,0.717,-0.717,0,429.07050,23.20159,-23.20159,0,0.780000,0.110000,-0.110000,0,1862,34,-34,0,83.650,0.570,-0.570,0,F5,6280.00,49.00,-49.00,0,1.70,0.07,-0.07,0,1.27,0.05,-0.12,0,0.603,0.039,-0.043,0,18.90950,208.67365,515.4580000,16.6960000,-15.6970000
HAT-P-51 b,HAT-P-51,b,1,1,Transit,2015,2015-12,HATNet,Multiple Telescopes,13.507,0.191,-0.179,0,97.57332,6.67440,-6.35657,0,0.218000,0.014000,-0.014000,0,1168,7,-7,0,89.280,0.300,-0.300,0,G7,5453.00,31.00,-32.00,0,0.99,0.01,-0.01,0,0.96,0.04,-0.04,0,-0.102,0.011,-0.012,0,-29.55538,130.85829,440.0890000,8.1890000,-7.9010000
HAT-P-52 b,HAT-P-52,b,1,1,Transit,2015,2015-12,HATNet,Multiple Telescopes,11.310,0.807,-0.807,0,259.98494,9.21707,-9.21707,0,0.980000,0.210000,-0.210000,0,1218,37,-37,0,87.020,0.860,-0.860,0,K1,5131.00,50.00,-50.00,0,0.89,0.05,-0.05,0,0.89,0.03,-0.03,0,-0.305,0.050,-0.056,0,-26.98024,152.17845,361.1550000,4.2875000,-4.2875000
HAT-P-53 b,HAT-P-53,b,1,1,Transit,2015,2015-12,HATNet,Multiple Telescopes,14.773,1.020,-1.020,0,471.65972,17.79848,-17.79848,0,0.800000,0.150000,-0.150000,0,1778,48,-48,0,86.200,1.500,-1.500,0,,5956.00,50.00,-50.00,0,1.21,0.08,-0.06,0,1.09,0.04,-0.04,0,0.217,0.059,-0.050,0,-23.36944,130.55561,666.8020000,15.2760000,-14.6190000
HAT-P-54 b,HAT-P-54,b,1,1,Transit,2015,2015-04,HATNet,Canon 200mm f/1.8L,10.581,0.314,-0.314,0,241.55080,10.17056,-10.17056,0,1.118000,0.098000,-0.098000,0,818,12,-12,0,87.040,0.084,-0.084,0,K7,4390.00,50.00,-50.00,0,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,-0.902,0.030,-0.032,0,8.89777,188.78409,143.6510000,0.5830000,-0.5790000
HAT-P-55 b,HAT-P-55,b,1,1,Transit,2015,2015-09,HATNet,Canon 200mm f/1.8L,14.841,0.258,-0.247,0,189.42573,23.20147,-22.88365,0,0.318000,0.040000,-0.039000,0,1367,11,-11,0,86.800,0.220,-0.220,0,,5804.00,37.00,-37.00,0,1.10,0.02,-0.02,0,1.03,0.05,-0.05,0,0.097,0.017,-0.016,0,26.96850,49.58846,511.3880000,3.6340000,-3.5850000
HAT-P-56 b,HAT-P-56,b,1,1,Transit,2015,2015-09,HATNet,Canon 200mm f/1.8L,16.926,1.233,-1.233,0,734.18730,139.84520,-139.84520,0,0.750000,0.110000,-0.120000,0,1840,21,-21,0,82.130,0.180,-0.180,0,F8,6566.00,50.00,-50.00,0,1.47,0.11,-0.11,0,1.42,0.33,-0.33,0,0.553,0.010,-0.010,0,10.42964,187.53757,320.6390000,5.6520000,-5.4630000
HAT-P-57 b,HAT-P-57,b,3,1,Transit,2015,2015-12,HATNet,Multiple Telescopes,19.504,4.035,-4.035,0,448.14030,483.10160,-483.10160,0,0.332000,,,0,2200,76,-76,0,88.260,0.850,-0.850,0,A8 V,6330.00,124.00,-124.00,0,1.85,0.39,-0.39,0,2.77,1.74,-1.74,0,0.806,0.069,-0.082,0,11.96776,38.82228,279.8600000,3.2490000,-3.1760000
HAT-P-58 b,HAT-P-58,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,14.930,0.482,-0.482,0,118.23217,9.53485,-9.53485,0,0.194000,0.024000,-0.024000,0,1622,18,-18,0,85.640,0.340,-0.340,0,,6078.00,48.00,-48.00,0,1.53,0.03,-0.03,0,1.03,0.03,-0.03,0,0.456,0.022,-0.023,0,6.30060,150.04883,515.5900000,12.7770000,-12.1840000
HAT-P-59 b,HAT-P-59,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,12.588,0.146,-0.146,0,489.45575,21.29450,-21.29450,0,1.347000,0.081000,-0.081000,0,1278,6,-6,0,85.180,0.100,-0.100,0,,5678.00,16.00,-16.00,0,1.10,0.01,-0.01,0,1.01,0.02,-0.02,0,0.054,0.006,-0.006,0,19.63991,94.05480,265.4710000,1.3740000,-1.3600000
HAT-P-6 b,HAT-P-6,b,1,1,Transit,2007,2008-01,HATNet,Canon 200mm f/1.8L,16.589,1.681,-1.681,0,419.53560,95.34900,-95.34900,0,0.558000,0.047000,-0.047000,0,1675,32,-31,0,85.510,0.350,-0.350,0,,6570.00,80.00,-80.00,0,1.62,0.17,-0.17,0,1.79,0.60,-0.60,0,0.553,0.059,-0.056,0,-18.43512,108.96346,275.3580000,3.6360000,-3.5450000
HAT-P-60 b,HAT-P-60,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,18.282,0.269,-0.269,0,182.43351,12.07748,-12.07748,0,0.164000,0.013000,-0.013000,0,1772,12,-12,0,83.750,0.170,-0.170,0,,6212.00,26.00,-26.00,0,2.20,0.03,-0.02,0,1.44,0.01,-0.01,0,0.809,0.011,-0.012,0,-9.67032,132.48097,233.2200000,2.6870000,-2.6270000
HAT-P-61 b,HAT-P-61,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,10.077,0.303,-0.303,0,335.94463,22.24799,-22.24799,0,1.800000,0.200000,-0.200000,0,1505,16,-16,0,83.620,0.240,-0.240,0,,5587.00,45.00,-45.00,0,0.94,0.01,-0.01,0,1.00,0.03,-0.03,0,-0.115,0.017,-0.018,0,5.02601,157.78135,338.8400000,4.1490000,-4.0510000
HAT-P-62 b,HAT-P-62,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,12.027,0.325,-0.325,0,241.86742,27.96890,-27.96890,0,0.770000,0.110000,-0.110000,0,1512,13,-13,0,87.930,0.640,-0.640,0,,5629.00,48.00,-48.00,0,1.17,0.02,-0.02,0,1.02,0.02,-0.02,0,0.091,0.018,-0.019,0,3.39851,158.83659,348.8150000,4.9510000,-4.8160000
HAT-P-63 b,HAT-P-63,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,12.543,0.370,-0.370,0,195.14664,7.62788,-7.62788,0,0.540000,0.055000,-0.055000,0,1237,11,-11,0,88.450,0.440,-0.440,0,,5400.00,55.00,-39.00,0,0.97,0.01,-0.01,0,0.93,0.02,-0.02,0,-0.146,0.017,-0.017,0,-6.39952,13.68182,4483.0500000,3720.2300000,-2222.7300000
HAT-P-64 b,HAT-P-64,b,1,1,Transit,2021,2021-07,HATNet,Multiple Telescopes,19.089,0.785,-0.785,0,184.34048,57.20911,-41.31769,0,0.144000,0.046000,-0.035000,0,1766,22,-16,0,88.010,0.700,-0.700,0,,6457.00,29.00,-29.00,0,1.74,0.04,-0.03,0,1.30,0.02,-0.02,0,0.668,0.026,-0.016,0,-28.45082,193.55233,651.8970000,15.4130000,-14.7280000
HAT-P-65 b,HAT-P-65,b,1,1,Transit,2016,2016-12,HATNet,Canon 200mm f/1.8L,18.058,0.269,-0.269,0,176.07694,29.24021,-28.92239,0,0.164000,0.027000,-0.027000,0,1818,13,-13,0,88.300,1.000,-1.000,0,G2,5872.00,40.00,-40.00,0,1.67,0.02,-0.02,0,1.30,0.06,-0.05,0,0.473,0.017,-0.018,0,-22.33450,60.50165,738.5190000,19.9240000,-18.9220000
HAT-P-66 b,HAT-P-66,b,1,1,Transit,2016,2016-12,HATNet,Canon 200mm f/1.8L,17.822,1.793,-1.121,0,248.86089,18.11631,-18.11631,0,0.242000,0.045000,-0.061000,0,1896,66,-42,0,86.200,1.800,-1.800,0,G0,6002.00,50.00,-50.00,0,1.88,0.15,-0.10,0,1.26,0.11,-0.05,0,0.615,0.069,-0.051,0,49.12363,160.16347,935.4560000,24.3610000,-23.1770000
HAT-P-67 b,HAT-P-67,b,2,1,Transit,2017,2017-05,HATNet,Canon 200mm f/1.8L,23.371,1.076,-0.796,0,108.06220,79.45750,-60.38770,0,0.052000,0.039000,-0.028000,0,1903,25,-25,0,88.800,1.100,-1.300,0,,6406.00,65.00,-61.00,0,2.55,0.10,-0.08,0,1.64,0.15,-0.07,0,0.939,0.069,-0.045,0,36.91147,70.15807,371.6860000,3.5630000,-3.4970000
HAT-P-68 b,HAT-P-68,b,1,1,Transit,2020,2021-02,HATNet,Canon 200mm f/1.8L,12.016,0.135,-0.135,0,230.10892,13.66669,-13.66669,0,0.727000,0.051000,-0.051000,0,1028,8,-8,0,88.730,0.470,-0.270,0,K,4508.00,43.00,-43.00,0,0.67,0.00,0.00,0,0.68,0.03,-0.01,0,-0.779,0.016,-0.017,0,23.83401,197.14414,202.1520000,0.9530000,-0.9430000
HAT-P-69 b,HAT-P-69,b,1,1,Transit,2019,2019-10,HATNet,Canon 200mm f/1.8L,18.786,0.572,-0.370,0,1137.83140,184.34140,-184.34140,0,1.020000,0.180000,-0.160000,0,1930,80,-230,0,87.190,0.520,-0.720,0,,7394.00,360.00,-600.00,0,1.93,0.06,-0.03,0,1.65,0.06,-0.03,0,1.000,0.072,-0.041,0,26.20647,222.78554,341.2630000,5.1160000,-4.9690000
HAT-P-7 b,HAT-P-7,b,2,1,Transit,2008,2008-06,HATNet,Canon 200mm f/1.8L,16.926,2.354,-2.354,0,584.80720,168.44990,-168.44990,0,0.712000,0.015000,-0.015000,0,2733,21,-21,0,83.110,0.030,-0.030,0,,6389.00,17.00,-17.00,0,2.00,0.28,-0.28,0,1.56,0.68,-0.68,0,0.814,0.020,-0.018,0,13.97537,80.03294,341.0790000,2.4310000,-2.3970000
HAT-P-70 b,HAT-P-70,b,1,1,Transit,2019,2019-10,HATNet,Canon 200mm f/1.8L,20.961,1.681,-1.121,0,2154.88740,,,0,1.540000,,,0,2562,43,-52,0,96.500,1.420,-0.910,0,,8450.00,540.00,-690.00,0,1.86,0.12,-0.09,0,1.89,0.01,-0.01,0,1.223,0.120,-0.140,0,-19.66114,189.96459,330.7390000,6.8180000,-6.5520000
HAT-P-8 b,HAT-P-8,b,3,1,Transit,2008,2009-10,HATNet,Canon 200mm f/1.8L,15.693,1.457,-1.457,0,406.82240,85.81410,-85.81410,0,0.568000,0.048000,-0.048000,0,1700,35,-35,0,87.800,0.760,-0.760,0,F6,6200.00,80.00,-80.00,0,1.57,0.15,-0.15,0,1.27,0.41,-0.41,0,0.519,0.050,,0,-21.38256,97.14496,211.5530000,1.7090000,-1.6820000
HAT-P-9 b,HAT-P-9,b,1,1,Transit,2008,2009-01,HATNet,Canon 200mm f/1.8L,15.614,0.751,-0.729,0,238.05467,20.34112,-20.02329,0,0.342000,0.057000,-0.048000,0,1540,32,-30,0,86.440,0.370,-0.360,0,F7,6350.00,150.00,-150.00,0,1.34,0.07,-0.06,0,1.28,0.06,-0.06,0,0.418,0.041,-0.040,0,21.44260,181.08665,455.2030000,8.9680000,-8.6350000
HATS-1 b,HATS-1,b,1,1,Transit,2012,2013-01,HATSouth,0.18 m Takahashi Epsilon Astrograph,14.594,1.816,-1.098,0,589.55000,83.26800,-62.29200,0,1.030000,0.250000,-0.250000,0,1359,89,-59,0,85.600,0.600,-1.400,0,,5870.00,100.00,,0,1.04,0.13,,0,0.99,0.05,,0,0.041,0.114,,0,36.81240,282.95386,283.9710000,3.7780000,-3.6820000
HATS-10 b,HATS-10,b,1,1,Transit,2015,2015-07,HATSouth,0.18 m Takahashi Epsilon Astrograph,10.862,0.684,-0.504,0,167.17858,25.74423,-25.74423,0,0.700000,0.150000,-0.150000,0,1407,39,-39,0,87.790,0.720,-0.720,0,,5880.00,120.00,-120.00,0,1.10,0.06,-0.04,0,1.10,0.05,-0.05,0,0.117,0.056,-0.064,0,-19.62467,17.37913,534.8890000,7.7240000,-7.5120000
HATS-11 b,HATS-11,b,1,1,Transit,2016,2016-10,HATSouth,0.18 m Takahashi Epsilon Astrograph,18.030,0.720,-0.720,0,263.79890,31.78300,-31.78300,0,0.315000,0.037000,-0.037000,0,1596,95,-94,0,89.030,0.360,-0.470,0,G0,6563.00,361.00,-361.00,0,1.54,0.06,-0.06,0,1.33,0.09,-0.09,0,0.403,0.062,-0.073,0,-15.51150,15.35571,944.6030000,32.2620000,-30.2330000
HATS-12 b,HATS-12,b,1,1,Transit,2016,2016-10,HATSouth,0.18 m Takahashi Epsilon Astrograph,7.760,0.470,-0.470,0,759.61370,27.65121,-27.65121,0,1.120000,0.140000,-0.140000,0,1446,47,-47,0,82.270,0.640,-0.640,0,F,6357.00,91.00,-91.00,0,1.17,0.07,-0.07,0,1.16,0.04,-0.04,0,0.863,0.081,-0.100,0,-14.11663,18.14948,746.1380000,,
HATS-13 b,HATS-13,b,1,1,Transit,2015,2015-08,HATSouth,0.18 m Takahashi Epsilon Astrograph,13.585,0.392,-0.392,0,172.58169,22.88376,-22.88376,0,0.377000,0.058000,-0.058000,0,1244,20,-20,0,88.550,0.430,-0.430,0,,5523.00,69.00,-69.00,0,0.89,0.02,-0.02,0,0.96,0.03,-0.03,0,-0.321,0.019,-0.020,0,-40.44359,20.64911,421.8550000,8.5010000,-8.1770000
HATS-14 b,HATS-14,b,1,1,Transit,2015,2015-08,HATSouth,0.18 m Takahashi Epsilon Astrograph,11.646,0.359,-0.247,0,340.39593,22.24810,-22.24810,0,1.191000,0.098000,-0.140000,0,1276,20,-20,0,88.830,0.660,-0.660,0,,5346.00,60.00,-60.00,0,0.93,0.02,-0.02,0,0.97,0.02,-0.02,0,-0.173,0.018,-0.019,0,-37.08329,20.03137,513.0110000,9.2870000,-8.9680000
HATS-15 b,HATS-15,b,1,1,Transit,2016,2016-07,HATSouth,0.18 m Takahashi Epsilon Astrograph,12.386,0.448,-0.448,0,689.69110,47.67450,-47.67450,0,1.970000,0.240000,-0.240000,0,1505,30,-30,0,87.130,0.970,-0.670,0,G9 V,5311.00,77.00,-77.00,0,0.92,0.03,-0.03,0,0.87,0.02,-0.02,0,-0.204,0.038,-0.042,0,-33.28171,26.56133,1139.5500000,99.7000000,-85.1100000
HATS-16 b,HATS-16,b,1,1,Transit,2016,2016-07,HATSouth,0.18 m Takahashi Epsilon Astrograph,14.572,1.681,-1.681,0,1039.30410,60.38770,-60.38770,0,1.860000,0.940000,-0.480000,0,1592,61,-82,0,83.530,1.370,-0.860,0,G3 V,5738.00,79.00,-79.00,0,1.24,0.10,-0.13,0,0.97,0.04,-0.04,0,0.173,0.077,-0.094,0,-77.12348,16.62766,757.0440000,13.7350000,-13.2620000
